# log10(T/K)      T(K)        E(keV)     j(E>0.1)      j(E>0.2)      j(E>0.3)      j(E>0.5)      j(E>1)      j(E>2)      j(E>5)      j(E>10)
6.750000e+00 5.623413e+06 4.845888e-01 2.544900e-23 2.291800e-23 2.119500e-23 1.907500e-23 4.014500e-24 2.257500e-25 3.280100e-28 1.013000e-32
6.800000e+00 6.309573e+06 5.437176e-01 2.696500e-23 2.425400e-23 2.258900e-23 2.056200e-23 4.699300e-24 3.406100e-25 9.383100e-28 8.822000e-32
6.850000e+00 7.079458e+06 6.100612e-01 2.823600e-23 2.529200e-23 2.370100e-23 2.173100e-23 5.370900e-24 4.978700e-25 2.420900e-27 6.104000e-31
6.900000e+00 7.943282e+06 6.844999e-01 2.904200e-23 2.584900e-23 2.434600e-23 2.241600e-23 6.070700e-24 7.063900e-25 5.717400e-27 3.456900e-30
6.950000e+00 8.912509e+06 7.680215e-01 2.908400e-23 2.570900e-23 2.431900e-23 2.242000e-23 6.879800e-24 9.704500e-25 1.251000e-26 1.631300e-29
7.000000e+00 1.000000e+07 8.617343e-01 2.813200e-23 2.473200e-23 2.347400e-23 2.160700e-23 7.881800e-24 1.286900e-24 2.571600e-26 6.533600e-29
7.050000e+00 1.122018e+07 9.668818e-01 2.613000e-23 2.294100e-23 2.181500e-23 1.998900e-23 8.989100e-24 1.647200e-24 5.037200e-26 2.261100e-28
7.100000e+00 1.258925e+07 1.084859e+00 2.332700e-23 2.057900e-23 1.956400e-23 1.779600e-23 9.809500e-24 2.040800e-24 9.446000e-26 6.899600e-28
7.150000e+00 1.412538e+07 1.217232e+00 2.042900e-23 1.821300e-23 1.727600e-23 1.558400e-23 1.002800e-23 2.463000e-24 1.678800e-25 1.888400e-27
7.200000e+00 1.584893e+07 1.365757e+00 1.817100e-23 1.640900e-23 1.551900e-23 1.390500e-23 9.820200e-24 2.911500e-24 2.785500e-25 4.677700e-27
7.250000e+00 1.778279e+07 1.532404e+00 1.671900e-23 1.527100e-23 1.441300e-23 1.286800e-23 9.531600e-24 3.383100e-24 4.320500e-25 1.055200e-26
7.300000e+00 1.995262e+07 1.719386e+00 1.594100e-23 1.469900e-23 1.386300e-23 1.237400e-23 9.391700e-24 3.888600e-24 6.349700e-25 2.193600e-26
7.350000e+00 2.238721e+07 1.929183e+00 1.563700e-23 1.452900e-23 1.371500e-23 1.227200e-23 9.461600e-24 4.441700e-24 8.943600e-25 4.246300e-26
7.400000e+00 2.511886e+07 2.164579e+00 1.565600e-23 1.464000e-23 1.384400e-23 1.244200e-23 9.725600e-24 5.050200e-24 1.217400e-24 7.713100e-26
7.450000e+00 2.818383e+07 2.428697e+00 1.592000e-23 1.496400e-23 1.418800e-23 1.282100e-23 1.016500e-23 5.728100e-24 1.610900e-24 1.328100e-25
7.500000e+00 3.162278e+07 2.725043e+00 1.634800e-23 1.543700e-23 1.468000e-23 1.334700e-23 1.073800e-23 6.475300e-24 2.079900e-24 2.176500e-25
7.550000e+00 3.548134e+07 3.057549e+00 1.690800e-23 1.603400e-23 1.529600e-23 1.399600e-23 1.142800e-23 7.300500e-24 2.630200e-24 3.415500e-25
7.600000e+00 3.981072e+07 3.430626e+00 1.757800e-23 1.673700e-23 1.601700e-23 1.474900e-23 1.222200e-23 8.203900e-24 3.266700e-24 5.158000e-25
7.650000e+00 4.466836e+07 3.849226e+00 1.834500e-23 1.753400e-23 1.683300e-23 1.559600e-23 1.311000e-23 9.184200e-24 3.989500e-24 7.525200e-25
7.700000e+00 5.011872e+07 4.318902e+00 1.919800e-23 1.841300e-23 1.773100e-23 1.652500e-23 1.408200e-23 1.023600e-23 4.800700e-24 1.064400e-24
7.750000e+00 5.623413e+07 4.845888e+00 2.011800e-23 1.936000e-23 1.869600e-23 1.752100e-23 1.512200e-23 1.135200e-23 5.693100e-24 1.462400e-24
7.800000e+00 6.309573e+07 5.437176e+00 2.109700e-23 2.036300e-23 1.971800e-23 1.857300e-23 1.622100e-23 1.252500e-23 6.664200e-24 1.957200e-24
7.850000e+00 7.079458e+07 6.100612e+00 2.212100e-23 2.141200e-23 2.078500e-23 1.967100e-23 1.736700e-23 1.374500e-23 7.709500e-24 2.558900e-24
7.900000e+00 7.943282e+07 6.844999e+00 2.320100e-23 2.251500e-23 2.190700e-23 2.082300e-23 1.856800e-23 1.501600e-23 8.831400e-24 3.273700e-24
7.950000e+00 8.912509e+07 7.680215e+00 2.433500e-23 2.367200e-23 2.308100e-23 2.202700e-23 1.982100e-23 1.633800e-23 1.002600e-23 4.108800e-24
8.000000e+00 1.000000e+08 8.617343e+00 2.551000e-23 2.486900e-23 2.429700e-23 2.327300e-23 2.111800e-23 1.770000e-23 1.128900e-23 5.060500e-24
8.050000e+00 1.122018e+08 9.668818e+00 2.672800e-23 2.610900e-23 2.555400e-23 2.456000e-23 2.245700e-23 1.910600e-23 1.262500e-23 6.126300e-24
8.100000e+00 1.258925e+08 1.084859e+01 2.799400e-23 2.739600e-23 2.685900e-23 2.589400e-23 2.384300e-23 2.055800e-23 1.403000e-23 7.306400e-24
8.150000e+00 1.412538e+08 1.217232e+01 2.930500e-23 2.872900e-23 2.820900e-23 2.727300e-23 2.527400e-23 2.205400e-23 1.550100e-23 8.590900e-24
8.200000e+00 1.584893e+08 1.365757e+01 3.000700e-23 2.945200e-23 2.895200e-23 2.805000e-23 2.612000e-23 2.300500e-23 1.656500e-23 9.651500e-24
8.250000e+00 1.778279e+08 1.532404e+01 3.139200e-23 3.085700e-23 3.037400e-23 2.949900e-23 2.762000e-23 2.456700e-23 1.813000e-23 1.107800e-23
8.300000e+00 1.995262e+08 1.719386e+01 3.279300e-23 3.227700e-23 3.181000e-23 3.096200e-23 2.913500e-23 2.614500e-23 1.972700e-23 1.256700e-23
8.350000e+00 2.238721e+08 1.929183e+01 3.418600e-23 3.368800e-23 3.323700e-23 3.241700e-23 3.064100e-23 2.771700e-23 2.133700e-23 1.409400e-23
8.400000e+00 2.511886e+08 2.164579e+01 3.555100e-23 3.507200e-23 3.463700e-23 3.384300e-23 3.211800e-23 2.926200e-23 2.293800e-23 1.563300e-23
8.450000e+00 2.818383e+08 2.428697e+01 3.687700e-23 3.641500e-23 3.599500e-23 3.522800e-23 3.355400e-23 3.076600e-23 2.451300e-23 1.716300e-23
8.500000e+00 3.162278e+08 2.725043e+01 3.813600e-23 3.769100e-23 3.728600e-23 3.654500e-23 3.492200e-23 3.220400e-23 2.603200e-23 1.866200e-23
8.550000e+00 3.548134e+08 3.057549e+01 3.931300e-23 3.888500e-23 3.849400e-23 3.777800e-23 3.620600e-23 3.355800e-23 2.747800e-23 2.011100e-23
8.600000e+00 3.981072e+08 3.430626e+01 4.037900e-23 3.996700e-23 3.959100e-23 3.890000e-23 3.737700e-23 3.480000e-23 2.882300e-23 2.148100e-23
8.650000e+00 4.466836e+08 3.849226e+01 4.133500e-23 4.093900e-23 4.057700e-23 3.991000e-23 3.843700e-23 3.593100e-23 3.006300e-23 2.276500e-23
8.700000e+00 5.011872e+08 4.318902e+01 4.216500e-23 4.178400e-23 4.143600e-23 4.079200e-23 3.936800e-23 3.693300e-23 3.118000e-23 2.394300e-23
8.750000e+00 5.623413e+08 4.845888e+01 4.287200e-23 4.250700e-23 4.217100e-23 4.155100e-23 4.017400e-23 3.781000e-23 3.217700e-23 2.501500e-23
8.800000e+00 6.309573e+08 5.437176e+01 4.343800e-23 4.308700e-23 4.276400e-23 4.216700e-23 4.083600e-23 3.854200e-23 3.303500e-23 2.595800e-23
